filename,notes,authors,licenses,urls
"body/bodies/muscular/core_idle.png","see details at https://opengameart.org/content/lpc-character-bases","bluecarrot16, JaidynReiman, Evert, TheraHedwig, MuffinElZangano, Durrani, Sander Frenken (castelonia), Benjamin K. Smith (BenCreating), Eliza Wyatt (ElizaWy), dalonedrau, Stephen Challener (Redshrike)","CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-barbarian-sprite-base, https://opengameart.org/content/lpc-muscular-swing-animation, https://opengameart.org/content/lpc-muscular-hurt-animation, https://opengameart.org/content/lpc-jump-expanded, https://opengameart.org/content/lpc-revised-character-basics, https://opengameart.org/content/lpc-be-seated, https://opengameart.org/content/lpc-jump-expanded, https://opengameart.org/content/lpc-character-bases, https://opengameart.org/content/lpc-male-jumping-animation-by-durrani"
"head/heads/human/male/core_idle.png","original head by Redshrike, tweaks by BenCreating, modular version by bluecarrot16","bluecarrot16, Benjamin K. Smith (BenCreating), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-character-bases"
"head/faces/male/look_l/core_idle.png","Original by Redshrike, Expressions by ElizaWy, mapped to all frames by JaidynReiman","JaidynReiman, ElizaWy, Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Head, https://opengameart.org/content/ulpc-expanded-expressions"
"body/wound/eye_right/core_idle.png","Zombie by BenCreating, commissioned by castelonia","Benjamin K. Smith (BenCreating), Sander Frenken (castelonia)","CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-zombie"
"body/wound/ribs/core_idle.png","","Benjamin K. Smith (BenCreating), Sander Frenken (castelonia)","CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-zombie"
"body/wings/dragonfly/solid/fg/core_idle/forest.png","In dedication to my grandmother, Sharon Rowe","The Foreman","OGA-BY 4.0, CC-BY-SA 4.0","https://opengameart.org/content/lpc-fairy-wings-pack-2"
"body/wings/monarch/edge/fg/core_idle/brown.png","In dedication to my grandmother, Sharon Rowe","The Foreman","OGA-BY 4.0, CC-BY-SA 4.0","https://opengameart.org/content/lpc-fairy-wings"
"body/tail/lizard/adult/fg/core_idle.png","edited for v3 bases and recolored by bluecarrot16, additional animations added by JaidynReiman","Nila122, bluecarrot16, JaidynReiman","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/drakes-and-lizardfolk"
"eyes/cyclops2/adult/core_idle.png","original by kirts, repositioned by JaidynReiman along with shading and recolors","kirts, JaidynReiman","CC0","https://opengameart.org/content/cyclops-and-his-eye"
"head/ears/cat/skin/adult/fg/core_idle.png","","JaidynReiman","OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0","https://opengameart.org/content/lpc-furry-ears-tails-for-rpg-sprites"
"head/ears/avyon/skin/adult/core_idle.png","","JaidynReiman","OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0","https://opengameart.org/content/lpc-furry-ears-tails-for-rpg-sprites"
"head/horns/curled/adult/core_idle.png","","Nila122","OGA-BY 3.0, GPL 3.0, CC-BY-SA 3.0","https://opengameart.org/content/lpc-lizard-headgear"
"head/fins/fin_short/adult/core_idle.png","adapted to v3 base by bluecarrot16","bluecarrot16, Nila122","OGA-BY 3.0, GPL 3.0, CC-BY-SA 3.0","https://opengameart.org/content/lpc-lizard-headgear, http://opengameart.org/content/lpc-clothing-updates"
"beards/mustache/basic/core_idle.png","Original by Nemisys, repositioning by JaidynReiman.","JaidynReiman, Carlo Enrico Victoria (Nemisys)","CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-brunet-mustache"
"hair/extensions/bangs/xlong_bangr/adult/core_idle.png","","JaidynReiman","OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0","https://opengameart.org/content/lpc-relm-hair-xlong-ponytail, https://opengameart.org/content/lpc-expanded-xlong-hair"
"hat/headband/hairtie/rune/adult/core_idle.png","","JaidynReiman","OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0","https://opengameart.org/content/lpc-relm-hair-xlong-ponytail, https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
"hat/pirate/cavalier/feather/adult/core_idle/sky.png","Cavalier Hat by Bluecarrot16, layers and added animations by JaidynReiman","bluecarrot16, JaidynReiman","OGA-BY 3.0","https://opengameart.org/content/lpc-pirates, https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
"hat/pirate/tricorne/captain/skull/adult/core_idle/forest.png","Pirate Hat by Bluecarrot16, layers and added animations by JaidynReiman","bluecarrot16","OGA-BY 3.0","https://opengameart.org/content/lpc-pirates, https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
"hat/magic/wizard/buckle/adult/core_idle/bronze.png","Original Wizard Hat and Recolors by bigbeargames and reemax; split into separate layers with new recolors by JaidynReiman","Michael Whitlock (bigbeargames), Tuomo Untinen (reemax), JaidynReiman","CC-BY-SA 3.0, GPL 2.0, GPL 3.0","https://opengameart.org/content/lpc-items-and-game-effects, https://opengameart.org/content/lpc-pointed-hats, https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
"facial/earrings/stud/male/core_idle/ceramic.png","","bluecarrot16","CC0","https://opengameart.org/content/lpc-jewelry"
"neck/capetie/male/core_idle.png","adapted to male body and v3 bases by bluecarrot16","bluecarrot16, JaidynReiman","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more"
"shoulders/bauldron/male/core_idle.png","Original by Nila122, climb/jump/sit/emote/run by JaidynReiman","Nila122, JaidynReiman","GPL 2.0, GPL 3.0, OGA-BY 3.0, CC-BY-SA 3.0","https://opengameart.org/content/more-lpc-clothes-and-hair"
"torso/aprons/suspenders/male/core_idle/pink.png","original by ElizaWy; spellcast/thrust/shoot/hurt/combat adapted from original by JaidynReiman","ElizaWy, JaidynReiman","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing, https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"cape/trim/core_idle.png","isolated stripe from cape_trimmed, adapted to v3 bases by bluecarrot16","bluecarrot16, JaidynReiman","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more, http://opengameart.org/content/lpc-clothing-updates"
"legs/skirts/legion/male/core_idle.png","original by Nila122 to legion, adapted to v3 bases by bluecarrot16, climb/jump/sit/run by JaidynReiman","bluecarrot16, Nila122, JaidynReiman","OGA-BY 3.0, CC-BY-SA 3.0, GPL 2.0, GPL 3.0","https://opengameart.org/content/lpc-roman-armor, http://opengameart.org/content/lpc-clothing-updates, https://opengameart.org/content/lpc-expanded-armour"
"feet/shoes/basic/male/core_idle.png","original by wulax, edited for v3 base by bluecarrot16, Jump/Sit/Emote/Run/Revised Combat by JaidynReiman","JaidynReiman, bluecarrot16, Johannes Sjölund (wulax)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, http://opengameart.org/content/lpc-clothing-updates, https://opengameart.org/content/lpc-expanded-socks-shoes"
"shield/heater/revised/pattern/bend_sinister/bg/core_idle.png","","bluecarrot16, Sander Frenken (castelonia), ElizaWy, JaidynReiman","OGA-BY 3.0","https://opengameart.org/content/lpc-shields"
